,batch_size,num_layers,dropout,rmse,mse
53,480,"(700,)","[0.2, 0.5]",518.3871572412623,268725.2447926773
54,480,"(800,)",,726.0377189863896,527130.7693909595
55,480,"(800,)","[0.2, 0.5]",498.89772899053327,248898.94399191157
56,480,"(900,)",,767.1618561517721,588537.3135342323
57,480,"(900,)","[0.2, 0.5]",460.2233285569992,211805.51214808365
58,480,"(1000,)",,595.4804652790856,354596.9845289962
59,480,"(1000,)","[0.2, 0.5]",474.6115223340571,225256.0971322512
60,480,"(100, 100)",,539.7109582644974,291287.9184707821
61,480,"(100, 100)","[0.2, 0.5]",533.4980275497419,284620.14539946517
62,480,"(200, 200)",,578.0361760108362,334125.82077723043
63,480,"(200, 200)","[0.2, 0.5]",607.6954032967384,369293.7031879855
64,480,"(300, 300)",,599.2854259621671,359143.021770656
65,480,"(300, 300)","[0.2, 0.5]",542.6345335185142,294452.23696685553
66,480,"(400, 400)",,735.3794002025829,540782.8622423107
67,480,"(400, 400)","[0.2, 0.5]",512.0784140743361,262224.3021608872
68,480,"(500, 500)",,702.9462578291918,494133.44139606465
69,480,"(500, 500)","[0.2, 0.5]",565.8792025951653,320219.2719297402
70,480,"(600, 600)",,583.0888910795736,339992.6549004069
71,480,"(600, 600)","[0.2, 0.5]",499.0556134596921,249056.5053256296
72,480,"(700, 700)",,474.8153810140201,225449.64604748908
73,480,"(700, 700)","[0.2, 0.5]",530.0094752232845,280910.0438264615
74,480,"(800, 800)",,513.9420667549869,264136.4479803873
75,480,"(800, 800)","[0.2, 0.5]",524.3783007803978,274972.60232933733
76,480,"(900, 900)",,486.15717667333206,236348.8004309854
77,480,"(900, 900)","[0.2, 0.5]",521.592625638282,272058.867120237
78,480,"(1000, 1000)",,484.0577321511091,234311.8880552749
79,480,"(1000, 1000)","[0.2, 0.5]",539.5683676862594,291134.0234076144
80,730,"(100,)",,549.6817006278318,302149.97200510534
81,730,"(100,)","[0.2, 0.5]",560.6107417377987,314284.40375180484
82,730,"(200,)",,628.5001206944036,395012.40171287983
83,730,"(200,)","[0.2, 0.5]",570.960038425019,325995.3654782992
84,730,"(300,)",,718.9312709432494,516862.17234007583
85,730,"(300,)","[0.2, 0.5]",594.0444060702449,352888.75638335
86,730,"(400,)",,576.9961632715612,332924.57243010204
87,730,"(400,)","[0.2, 0.5]",606.3670056944353,367680.9455948354
88,730,"(500,)",,536.5864910000588,287925.06232375617
89,730,"(500,)","[0.2, 0.5]",535.5006392672282,286760.93465561006
90,730,"(600,)",,684.4641553848786,468491.1800067353
91,730,"(600,)","[0.2, 0.5]",584.4843930477084,341622.0057163481
92,730,"(700,)",,617.7744059024963,381645.2165881822
93,730,"(700,)","[0.2, 0.5]",646.7804968878927,418325.0111545493
94,730,"(800,)",,610.7754139971355,373046.60634337226
95,730,"(800,)","[0.2, 0.5]",636.6657404148355,405343.2650179707
96,730,"(900,)",,617.9296944782067,381837.10731792985
97,730,"(900,)","[0.2, 0.5]",608.0854023752077,369767.85658181825
98,730,"(1000,)",,693.3710392837313,480763.39811740164
99,730,"(1000,)","[0.2, 0.5]",722.3667082866667,521813.6612409143
100,730,"(100, 100)",,583.5190157532378,340494.44174562744
101,730,"(100, 100)","[0.2, 0.5]",505.6320566544772,255663.77671663646
102,730,"(200, 200)",,541.9196615322755,293676.91955525614
103,730,"(200, 200)","[0.2, 0.5]",527.7683365823584,278539.4170989095
104,730,"(300, 300)",,596.8654080202624,356248.3152911943
105,730,"(300, 300)","[0.2, 0.5]",551.3218814868025,303955.8170061479
106,730,"(400, 400)",,664.8268486545339,441994.7386919185
107,730,"(400, 400)","[0.2, 0.5]",582.5081015516522,339315.68837330997
108,730,"(500, 500)",,714.4130369728623,510385.98739678826
109,730,"(500, 500)","[0.2, 0.5]",625.879663225919,391725.3528397897
110,730,"(600, 600)",,633.5919879097873,401438.80714347615
111,730,"(600, 600)","[0.2, 0.5]",584.5823969597569,341736.5788352148
112,730,"(700, 700)",,645.0691535789236,416114.212899029
113,730,"(700, 700)","[0.2, 0.5]",582.937459049199,339816.0811627366
114,730,"(800, 800)",,610.2709074027671,372430.58042219677
115,730,"(800, 800)","[0.2, 0.5]",530.9077906484031,281863.08217116864
116,730,"(900, 900)",,667.7299432428746,445863.2771031325
117,730,"(900, 900)","[0.2, 0.5]",543.045121573666,294898.0040649578
118,730,"(1000, 1000)",,1071.8324542827784,1148824.8100538442
119,730,"(1000, 1000)","[0.2, 0.5]",577.4419675178492,333439.22585088486
