,year_end_index,week_end_index,day_end_index,mse,sqrt_mse
213,4.0,72.0,20.0,366069.9231040382,605.0371253931763
214,4.0,72.0,22.0,366069.74710283877,605.0369799465474
215,4.0,96.0,0.0,960097.2385080619,979.8455176751394
216,4.0,96.0,2.0,435632.7381180155,660.0248011385751
217,4.0,96.0,4.0,367116.0651231857,605.9010357502169
218,4.0,96.0,6.0,367047.8496237455,605.8447405266019
219,4.0,96.0,8.0,366544.6039226828,605.4292724362465
220,4.0,96.0,10.0,366110.8229691705,605.0709239165029
221,4.0,96.0,12.0,366117.61371883965,605.0765354224535
222,4.0,96.0,14.0,366070.4612843938,605.0375701428745
223,4.0,96.0,16.0,366079.21945377265,605.0448078066389
224,4.0,96.0,18.0,366054.2731772919,605.0241922248167
225,4.0,96.0,20.0,366054.4471552278,605.0243360024684
226,4.0,96.0,22.0,366053.8275815716,605.0238239785039
227,4.0,120.0,0.0,960076.5146846526,979.8349425717847
228,4.0,120.0,2.0,435623.5940387015,660.0178740297125
229,4.0,120.0,4.0,367108.51268213347,605.8948033133586
230,4.0,120.0,6.0,367041.34711862693,605.8393740246889
231,4.0,120.0,8.0,366537.5632426484,605.4234577902052
232,4.0,120.0,10.0,366104.24873360776,605.0654912764467
233,4.0,120.0,12.0,366111.6884888487,605.0716391377542
234,4.0,120.0,14.0,366063.6265247573,605.0319219055779
235,4.0,120.0,16.0,366072.47103370115,605.0392309872982
236,4.0,120.0,18.0,366047.00360138144,605.0181845212435
237,4.0,120.0,20.0,366047.14518847334,605.0183015318407
238,4.0,120.0,22.0,366047.14076847053,605.0182978790564
239,4.0,144.0,0.0,960058.5730266527,979.8257870798526
240,4.0,144.0,2.0,435618.023323696,660.0136538918691
241,4.0,144.0,4.0,367106.79243519827,605.8933837196098
242,4.0,144.0,6.0,367038.4514467967,605.8369842183595
243,4.0,144.0,8.0,366535.0637996222,605.4213935760961
244,4.0,144.0,10.0,366102.54157700506,605.0640805542873
245,4.0,144.0,12.0,366110.0900558233,605.070318273689
246,4.0,144.0,14.0,366062.13247219974,605.0306872152847
247,4.0,144.0,16.0,366070.86551561084,605.0379041974237
248,4.0,144.0,18.0,366045.70766270685,605.0171135287884
249,4.0,144.0,20.0,366044.8949898045,605.0164419169156
250,4.0,144.0,22.0,366045.49147646717,605.016934867502
251,6.0,0.0,0.0,2335012.4845942226,1528.0747640721715
252,6.0,0.0,2.0,1364209.829281054,1167.9939337518213
253,6.0,0.0,4.0,1172036.0122164239,1082.6061205334208
254,6.0,0.0,6.0,1172898.2857382763,1083.004287035964
255,6.0,0.0,8.0,1181534.2507822874,1086.9840158816905
256,6.0,0.0,10.0,1183692.89059446,1087.9765119681858
257,6.0,0.0,12.0,1183711.9313448325,1087.9852624667453
258,6.0,0.0,14.0,1184342.8298865256,1088.2751627628584
259,6.0,0.0,16.0,1184613.9389318929,1088.3997146875283
260,6.0,0.0,18.0,1184190.8397565715,1088.2053297776902
261,6.0,0.0,20.0,1184180.1696688267,1088.2004271589067
262,6.0,0.0,22.0,1184188.9926175075,1088.2044810684743
263,6.0,24.0,0.0,3010117.793837175,1734.969104577132
264,6.0,24.0,2.0,1877771.6106415144,1370.3180691509233
265,6.0,24.0,4.0,1633818.5009915594,1278.2090990880793
266,6.0,24.0,6.0,1635046.1011742814,1278.6892121130456
267,6.0,24.0,8.0,1647494.5546025264,1283.5476440719005
268,6.0,24.0,10.0,1650726.8811987569,1284.8061648352864
269,6.0,24.0,12.0,1650725.7654927426,1284.8057306428636
270,6.0,24.0,14.0,1651619.5101578045,1285.1534967301784
271,6.0,24.0,16.0,1651997.3442912053,1285.3004879370446
272,6.0,24.0,18.0,1651450.3422116267,1285.087678803134
273,6.0,24.0,20.0,1651415.867949336,1285.0742655385081
274,6.0,24.0,22.0,1651437.6281093431,1285.0827320096334
275,6.0,48.0,0.0,3014705.9978418797,1736.290873627423
276,6.0,48.0,2.0,1883707.775261163,1372.482340600841
277,6.0,48.0,4.0,1640394.7655846882,1280.7789682785583
278,6.0,48.0,6.0,1641709.5390191344,1281.2921364853273
279,6.0,48.0,8.0,1654037.9144642563,1286.0940535062964
280,6.0,48.0,10.0,1657255.628181066,1287.3444093097487
281,6.0,48.0,12.0,1657210.8007226414,1287.326998366243
282,6.0,48.0,14.0,1658178.9741004095,1287.7029836497272
283,6.0,48.0,16.0,1658502.7080922262,1287.8286796356983
284,6.0,48.0,18.0,1657973.9053768949,1287.6233554020737
285,6.0,48.0,20.0,1657950.871760419,1287.6144111341791
286,6.0,48.0,22.0,1657938.4984042759,1287.6096063653283
287,6.0,72.0,0.0,3007737.066796149,1734.2828681608285
288,6.0,72.0,2.0,1878877.2839473528,1370.7214465190777
289,6.0,72.0,4.0,1636073.681046647,1279.0909588636168
290,6.0,72.0,6.0,1637457.679772748,1279.6318532190217
291,6.0,72.0,8.0,1649952.551883061,1284.5047885792644
292,6.0,72.0,10.0,1653181.2733820942,1285.7609705470509
293,6.0,72.0,12.0,1653181.980749726,1285.7612456244456
294,6.0,72.0,14.0,1654104.9455775127,1286.1201131999735
295,6.0,72.0,16.0,1654449.2581126732,1286.2539633029992
296,6.0,72.0,18.0,1653892.8419857589,1286.0376518538478
297,6.0,72.0,20.0,1653872.3469410662,1286.0296835380848
298,6.0,72.0,22.0,1653895.786964985,1286.0387968350663
299,6.0,96.0,0.0,3007069.5986642772,1734.0904240160826
300,6.0,96.0,2.0,1878969.1161528956,1370.7549438732276
301,6.0,96.0,4.0,1636334.704238775,1279.1929894424745
302,6.0,96.0,6.0,1637670.3068929268,1279.7149318863662
303,6.0,96.0,8.0,1650247.789279199,1284.6197060917286
304,6.0,96.0,10.0,1653533.4996817205,1285.8979351728194
305,6.0,96.0,12.0,1653452.1657161028,1285.8663094257126
306,6.0,96.0,14.0,1654419.139394074,1286.242255329094
307,6.0,96.0,16.0,1654774.4433246143,1286.3803649483361
308,6.0,96.0,18.0,1654226.9548048538,1286.1675453862354
309,6.0,96.0,20.0,1654226.8904222115,1286.1675203573645
310,6.0,96.0,22.0,1654198.9742186314,1286.1566678358556
311,6.0,120.0,0.0,3006489.4779962087,1733.9231465080015
312,6.0,120.0,2.0,1878783.5064945226,1370.6872387581795
313,6.0,120.0,4.0,1636244.9651208809,1279.1579125037224
314,6.0,120.0,6.0,1637574.3222611116,1279.6774289879115
315,6.0,120.0,8.0,1650123.783264135,1284.5714395330976
316,6.0,120.0,10.0,1653423.803427979,1285.8552809037178
317,6.0,120.0,12.0,1653394.7593283267,1285.8439871649775
318,6.0,120.0,14.0,1654322.5720414894,1286.2047162257995
319,6.0,120.0,16.0,1654708.168165662,1286.3546043629112
320,6.0,120.0,18.0,1654145.6996050705,1286.135956889889
321,6.0,120.0,20.0,1654071.8013721071,1286.1072277893888
322,6.0,120.0,22.0,1654102.4914246441,1286.1191591079903
323,6.0,144.0,0.0,3005749.499649638,1733.709750693477
324,6.0,144.0,2.0,1878564.2568788088,1370.6072584364963
325,6.0,144.0,4.0,1636174.2566493365,1279.1302735254671
326,6.0,144.0,6.0,1637483.5440002407,1279.6419592996476
327,6.0,144.0,8.0,1650030.3292935137,1284.535063473751
328,6.0,144.0,10.0,1653384.0975315087,1285.8398413222033
329,6.0,144.0,12.0,1653367.3767778487,1285.8333394253893
330,6.0,144.0,14.0,1654239.5707588631,1286.1724498522208
331,6.0,144.0,16.0,1654659.9312933902,1286.3358547803098
332,6.0,144.0,18.0,1654096.3501249119,1286.1167715743823
333,6.0,144.0,20.0,1654007.0080560786,1286.082037840541
334,6.0,144.0,22.0,1654034.3537776053,1286.0926692029643
335,8.0,0.0,0.0,343165597.57681155,18524.729352322844
336,8.0,0.0,2.0,279999039.1192633,16733.17181885321
337,8.0,0.0,4.0,261396181.80053836,16167.75129078062
338,8.0,0.0,6.0,261552900.038767,16172.597195217812
339,8.0,0.0,8.0,262954282.46551767,16215.865146994707
340,8.0,0.0,10.0,263337106.52553922,16227.664851282183
341,8.0,0.0,12.0,263343840.29062945,16227.872327900212
342,8.0,0.0,14.0,263447866.1643881,16231.077172029836
343,8.0,0.0,16.0,263510287.91446862,16232.999966564055
344,8.0,0.0,18.0,263437849.57252678,16230.768606955333
345,8.0,0.0,20.0,263431928.2357636,16230.586195075137
346,8.0,0.0,22.0,263430324.2791063,16230.536783455633
347,8.0,24.0,0.0,400352922.8010305,20008.82112471973
348,8.0,24.0,2.0,329857204.24603194,18161.97137554269
349,8.0,24.0,4.0,308956021.58836824,17577.14486452132
350,8.0,24.0,6.0,309118309.51132804,17581.76070566677
351,8.0,24.0,8.0,310675461.01624084,17625.988228075068
352,8.0,24.0,10.0,311112402.6845303,17638.378686390944
353,8.0,24.0,12.0,311121077.20535195,17638.624583718312
354,8.0,24.0,14.0,311217505.39191985,17641.357810325142
355,8.0,24.0,16.0,311266101.8958029,17642.73510246648
356,8.0,24.0,18.0,311203538.195569,17640.96194076641
357,8.0,24.0,20.0,311208203.36167943,17641.09416565989
358,8.0,24.0,22.0,311215173.21947443,17641.291710628062
359,8.0,48.0,0.0,401132829.28029585,20028.300708754497
360,8.0,48.0,2.0,330850470.4217719,18189.295489979042
361,8.0,48.0,4.0,310028790.9309196,17607.634450173016
362,8.0,48.0,6.0,310208552.7432782,17612.73836583279
363,8.0,48.0,8.0,311747675.30795777,17656.37775162159
364,8.0,48.0,10.0,312192424.48313344,17668.967838646757
365,8.0,48.0,12.0,312175660.04381377,17668.4934288075
366,8.0,48.0,14.0,312293472.32501143,17671.827079422532
367,8.0,48.0,16.0,312319529.49116576,17672.56431566075
368,8.0,48.0,18.0,312276923.66659105,17671.35885172929
369,8.0,48.0,20.0,312255116.3692129,17670.741817173748
370,8.0,48.0,22.0,312269977.78468764,17671.16232127043
371,8.0,72.0,0.0,400460129.5413879,20011.49993232361
372,8.0,72.0,2.0,330342009.6788926,18175.313193419603
373,8.0,72.0,4.0,309581276.5686137,17594.921897201297
374,8.0,72.0,6.0,309765912.7046761,17600.167973763095
375,8.0,72.0,8.0,311329101.5807972,17644.520440657976
376,8.0,72.0,10.0,311779973.0238453,17657.29234689864
377,8.0,72.0,12.0,311784618.80337477,17657.423900540383
378,8.0,72.0,14.0,311883136.1861559,17660.21336751501
379,8.0,72.0,16.0,311928458.1716286,17661.496487320335
380,8.0,72.0,18.0,311868768.4896512,17659.80658132051
381,8.0,72.0,20.0,311862479.08690274,17659.62850931193
382,8.0,72.0,22.0,311873445.33977735,17659.93899592457
383,8.0,96.0,0.0,400383260.76633096,20009.579225119425
384,8.0,96.0,2.0,330398958.9832653,18176.87979228738
385,8.0,96.0,4.0,309614243.0660708,17595.85869078491
386,8.0,96.0,6.0,309816112.87982064,17601.594043717196
387,8.0,96.0,8.0,311370377.7573705,17645.690061807458
388,8.0,96.0,10.0,311852741.3073151,17659.352799786157
389,8.0,96.0,12.0,311839403.85904276,17658.975164460782
390,8.0,96.0,14.0,311938871.613085,17661.791291176694
391,8.0,96.0,16.0,311979036.3998525,17662.928307612317
392,8.0,96.0,18.0,311915097.983846,17661.118254058718
393,8.0,96.0,20.0,311913268.22502846,17661.066452086874
394,8.0,96.0,22.0,311913332.9160994,17661.06828354671
395,8.0,120.0,0.0,400327576.0224966,20008.187724591564
396,8.0,120.0,2.0,330369774.7816547,18176.076990969606
397,8.0,120.0,4.0,309619161.1311046,17595.998440870146
398,8.0,120.0,6.0,309812468.23898494,17601.4905118568
399,8.0,120.0,8.0,311345489.74796695,17644.9848327497
400,8.0,120.0,10.0,311843705.13838035,17659.096951384017
401,8.0,120.0,12.0,311835169.48969555,17658.855271214372
402,8.0,120.0,14.0,311911264.52522886,17661.00972552897
403,8.0,120.0,16.0,311980654.54393643,17662.974113776436
404,8.0,120.0,18.0,311913238.79790676,17661.065618979697
405,8.0,120.0,20.0,311886050.80811286,17660.29588676568
406,8.0,120.0,22.0,311914132.9985259,17661.090934552314
407,8.0,144.0,0.0,400268927.9187237,20006.722068313033
408,8.0,144.0,2.0,330367988.2896377,18176.027846854704
409,8.0,144.0,4.0,309630507.59337866,17596.320853899506
