,selected columns,mse,sqrt_mse
1564,"(1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0)",301623.65222298366,549.2027423665905
1565,"(1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1)",263593.69277370087,513.4137637166547
1566,"(1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0)",301627.4723969497,549.2062202824634
1567,"(1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1)",263595.30004572205,513.4153289937125
1568,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",291280.2408379534,539.7038454911669
1569,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1)",292178.95543045364,540.5358040226879
1570,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0)",291283.02818720834,539.7064277801483
1571,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1)",292180.1412535608,540.5369009175606
1572,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0)",291058.8956470493,539.4987448058145
1573,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1)",292114.026406815,540.4757408124947
1574,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0)",291061.6489337819,539.5012965079712
1575,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1)",292115.22491209995,540.4768495616624
1576,"(1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0)",280973.246273176,530.069095753729
1577,"(1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1)",284126.4674124933,533.0351465077076
1578,"(1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0)",280975.9017713524,530.0716006082125
1579,"(1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1)",284127.34028390783,533.0359652818071
1580,"(1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0)",280678.33933607204,529.7908448964289
1581,"(1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1)",283987.8811805564,532.9051333779365
1582,"(1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0)",280680.9566972974,529.7933150741876
1583,"(1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1)",283988.77223617316,532.9059694131538
1584,"(1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0)",288005.376621923,536.6613239482821
1585,"(1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1)",291141.39563939953,539.5751992441827
